file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000344.spc,347.859,256.905,147.314,49.9970,4.5977,0.0000,0.3146
spect_000345.spc,127.076,44.240,1264.799,16.9850,0.0000,10.9477,-0.1487
spect_000346.spc,75.677,93.123,672.545,9.9410,1.6763,5.7343,0.1413
spect_000347.spc,311.168,71.552,694.471,44.6811,0.0000,5.2064,0.0803
spect_000348.spc,26.631,16.753,753.805,2.9308,0.0000,6.6884,-0.7495
spect_000349.spc,227.854,45.904,84.489,33.2634,0.0000,0.0000,-0.1426
spect_000350.spc,453.188,91.299,168.043,66.1588,0.0000,0.0000,-0.3439
spect_000351.spc,447.689,116.977,1915.888,63.1052,0.0000,15.7326,-0.4396
spect_000352.spc,28.567,55.385,3252.838,0.0000,0.0000,29.1499,-0.6247
spect_000353.spc,439.061,105.273,1261.640,62.6831,0.0000,9.8792,-1.9469
spect_000354.spc,167.346,77.861,2946.174,20.7204,0.0000,25.9301,-1.1750
spect_000355.spc,293.117,59.051,108.689,42.7908,0.0000,0.0000,-0.3999
spect_000356.spc,390.585,121.589,2947.528,53.4147,0.0000,25.1981,-1.0909
spect_000357.spc,214.664,53.767,766.920,30.4538,0.0000,6.1795,-0.4697
spect_000358.spc,174.104,44.090,653.506,24.6590,0.0000,5.2950,-0.3262
spect_000359.spc,42.901,57.064,3179.168,2.1942,0.0000,28.4398,-3.5417
spect_000360.spc,189.368,287.416,94.671,26.5972,6.1344,0.0000,0.3756
spect_000361.spc,375.363,112.983,2580.048,51.6579,0.0000,21.9450,-1.7987
spect_000362.spc,392.338,102.481,1676.819,55.3059,0.0000,13.7677,-0.5468
spect_000363.spc,340.299,70.425,248.253,49.5217,0.0000,1.0975,-0.2901
spect_000364.spc,178.585,65.346,1984.813,23.6030,0.0000,17.2494,-0.2028
spect_000365.spc,423.680,97.328,939.319,60.8450,0.0000,7.0326,-0.1284
spect_000366.spc,292.734,226.341,124.965,42.0313,4.1189,0.0000,0.3931
spect_000367.spc,230.623,115.715,532.501,32.8378,1.5382,3.9636,0.1980
spect_000368.spc,35.433,68.697,4034.688,0.0000,0.0000,36.1564,-3.3494
spect_000369.spc,389.757,89.947,890.985,55.9386,0.0000,6.7112,-0.2451
spect_000370.spc,400.626,117.314,2539.836,55.4097,0.0000,21.4992,-5.0609
spect_000371.spc,271.757,80.229,1765.375,37.5314,0.0000,14.9659,-3.1812
spect_000372.spc,142.762,50.481,1471.912,19.0160,0.0000,12.7575,-0.0108
spect_000373.spc,314.702,104.788,2820.558,42.4640,0.0000,24.3095,-1.0282
spect_000374.spc,388.545,100.099,1569.711,54.8882,0.0000,12.8174,-2.2489
spect_000375.spc,210.570,53.001,769.230,29.8512,0.0000,6.2139,-0.1558
spect_000376.spc,124.475,33.702,609.623,17.4468,0.0000,5.0659,-3.7966
spect_000377.spc,81.176,73.872,3787.694,7.0172,0.0000,33.7832,-0.5305
spect_000378.spc,373.693,121.836,3179.729,50.6420,0.0000,27.3420,-2.4664
spect_000379.spc,52.971,53.808,2837.706,4.1082,0.0000,25.3362,-2.6255
spect_000380.spc,300.277,180.459,543.065,42.8178,2.7939,3.7813,0.2446
spect_000381.spc,369.155,97.012,1616.059,51.9886,0.0000,13.2988,-0.2873
spect_000382.spc,467.429,94.168,173.324,68.2378,0.0000,0.0000,-0.0487
spect_000383.spc,154.528,78.130,3127.658,18.6096,0.0000,27.6045,-3.1664
spect_000384.spc,30.254,230.755,1560.241,1.6037,4.9527,13.7492,0.3052
spect_000385.spc,310.569,130.204,121.795,45.0543,1.6645,0.0000,0.3636
