file,K_percent,U_ppm,Th_ppm,w_PADK,w_PADU,w_PADTh,fit_r2
spect_000306.spc,2.295,12.032,59.705,0.2157,0.2630,0.5197,1.0000
spect_000307.spc,3.342,6.926,53.580,0.3983,0.1344,0.4658,1.0000
spect_000308.spc,2.722,8.004,62.458,0.2917,0.1606,0.5467,1.0000
spect_000309.spc,2.247,4.786,79.783,0.2137,0.0770,0.7070,1.0000
spect_000310.spc,1.912,7.970,77.542,0.1542,0.1579,0.6851,1.0000
spect_000311.spc,2.698,11.069,54.572,0.2853,0.2392,0.4731,1.0000
spect_000312.spc,1.963,13.231,62.897,0.1580,0.2929,0.5484,1.0000
spect_000313.spc,2.730,3.821,73.470,0.2966,0.0533,0.6495,1.0000
spect_000314.spc,2.657,7.956,63.825,0.2808,0.1592,0.5593,1.0000
spect_000315.spc,2.452,21.062,32.670,0.2351,0.4949,0.2678,1.0000
spect_000316.spc,3.549,14.613,29.365,0.4270,0.3320,0.2403,1.0000
spect_000317.spc,2.230,4.660,80.358,0.2110,0.0738,0.7124,1.0000
spect_000318.spc,2.299,3.717,81.739,0.2234,0.0497,0.7254,1.0000
spect_000319.spc,3.353,8.304,49.803,0.3988,0.1697,0.4305,1.0000
spect_000320.spc,2.347,12.598,57.253,0.2241,0.2776,0.4970,1.0000
spect_000321.spc,1.291,15.391,69.663,0.0421,0.3468,0.6096,1.0000
spect_000322.spc,1.507,10.151,79.713,0.0829,0.2128,0.7040,1.0000
spect_000323.spc,2.104,9.375,70.640,0.1851,0.1943,0.6211,1.0000
spect_000324.spc,2.348,13.508,54.715,0.2237,0.3010,0.4733,1.0000
spect_000325.spc,2.437,13.616,52.913,0.2385,0.3039,0.4567,1.0000
spect_000326.spc,3.485,17.468,22.579,0.4142,0.4052,0.1769,1.0000
spect_000327.spc,2.179,12.525,60.530,0.1956,0.2753,0.5271,1.0000
spect_000328.spc,2.756,4.877,69.979,0.3003,0.0805,0.6171,1.0000
spect_000329.spc,2.173,5.584,79.124,0.2004,0.0973,0.7006,1.0000
spect_000330.spc,1.107,8.709,90.839,0.0164,0.1750,0.8067,1.0000
spect_000331.spc,2.146,14.073,57.128,0.1886,0.3150,0.4952,1.0000
spect_000332.spc,2.952,6.542,61.948,0.3323,0.1236,0.5427,1.0000
spect_000333.spc,1.716,26.716,31.397,0.1051,0.6383,0.2537,1.0000
spect_000334.spc,3.239,22.342,14.515,0.3679,0.5295,0.1007,1.0000
spect_000335.spc,2.467,18.613,38.966,0.2396,0.4321,0.3266,1.0000
spect_000336.spc,2.998,21.708,20.561,0.3277,0.5128,0.1565,1.0000
spect_000337.spc,2.119,14.227,57.185,0.1840,0.3188,0.4956,1.0000
spect_000338.spc,3.858,18.020,14.414,0.4769,0.4201,0.1017,1.0000
spect_000339.spc,1.335,3.312,100.867,0.0596,0.0371,0.9011,1.0000
spect_000340.spc,1.232,15.599,70.280,0.0317,0.3520,0.6151,1.0000
spect_000341.spc,1.219,27.167,39.666,0.0200,0.6487,0.3293,1.0000
spect_000342.spc,2.582,8.215,64.335,0.2680,0.1657,0.5639,1.0000
spect_000343.spc,3.639,6.742,48.457,0.4491,0.1303,0.4189,1.0000
spect_000344.spc,3.255,22.375,14.088,0.3708,0.5305,0.0968,1.0000
spect_000345.spc,2.050,17.308,50.216,0.1698,0.3977,0.4304,1.0000
spect_000346.spc,1.965,20.972,41.685,0.1527,0.4917,0.3506,1.0000
spect_000347.spc,2.889,16.320,37.170,0.3133,0.3743,0.3111,1.0000
spect_000348.spc,1.649,14.203,65.269,0.1049,0.3175,0.5699,1.0000
spect_000349.spc,4.534,12.694,14.948,0.5975,0.2854,0.1091,1.0000
spect_000350.spc,4.571,8.622,25.858,0.6063,0.1807,0.2108,1.0000
spect_000351.spc,2.616,15.094,45.515,0.2679,0.3422,0.3882,1.0000
spect_000352.spc,1.210,13.869,75.157,0.0297,0.3076,0.6606,1.0000
spect_000353.spc,3.351,7.731,51.252,0.3992,0.1550,0.4441,1.0000
spect_000354.spc,1.859,13.471,64.083,0.1403,0.2989,0.5592,1.0000
spect_000355.spc,4.911,10.084,15.338,0.6633,0.2191,0.1137,1.0000
spect_000356.spc,2.324,13.951,54.217,0.2189,0.3122,0.4685,1.0000
spect_000357.spc,2.758,14.518,44.297,0.2927,0.3278,0.3773,1.0000
spect_000358.spc,2.678,15.342,43.384,0.2786,0.3488,0.3686,1.0000
spect_000359.spc,1.370,4.494,97.014,0.0646,0.0675,0.8652,1.0000
spect_000360.spc,2.560,24.821,20.590,0.2504,0.5916,0.1554,1.0000
spect_000361.spc,2.448,12.225,56.288,0.2417,0.2683,0.4883,1.0000
spect_000362.spc,2.640,14.737,46.017,0.2722,0.3331,0.3930,1.0000
spect_000363.spc,3.931,9.616,34.985,0.4968,0.2048,0.2941,1.0000
spect_000364.spc,2.006,16.991,51.891,0.1625,0.3895,0.4459,1.0000
spect_000365.spc,3.009,14.755,39.110,0.3350,0.3344,0.3296,1.0000
spect_000366.spc,2.940,21.982,20.921,0.3175,0.5197,0.1597,1.0000
spect_000367.spc,2.600,19.935,32.890,0.2612,0.4664,0.2703,1.0000
spect_000368.spc,1.182,4.280,101.112,0.0328,0.0616,0.9029,1.0000
spect_000369.spc,3.040,14.138,40.072,0.3409,0.3187,0.3387,1.0000
spect_000370.spc,2.904,3.094,71.916,0.3270,0.0351,0.6356,1.0000
spect_000371.spc,2.624,9.115,61.354,0.2741,0.1888,0.5361,1.0000
spect_000372.spc,2.004,18.435,48.235,0.1608,0.4265,0.4117,1.0000
spect_000373.spc,2.206,14.232,55.616,0.1987,0.3191,0.4812,1.0000
spect_000374.spc,2.993,9.213,54.014,0.3370,0.1922,0.4688,1.0000
spect_000375.spc,2.643,16.163,41.966,0.2718,0.3698,0.3552,1.0000
spect_000376.spc,3.024,5.560,62.560,0.3461,0.0989,0.5488,1.0000
spect_000377.spc,1.519,14.496,67.773,0.0815,0.3244,0.5926,1.0000
spect_000378.spc,2.344,11.084,61.228,0.2250,0.2388,0.5341,1.0000
spect_000379.spc,1.469,8.170,85.464,0.0784,0.1620,0.7577,1.0000
spect_000380.spc,2.649,20.555,30.485,0.2688,0.4823,0.2480,1.0000
spect_000381.spc,2.560,15.883,44.424,0.2578,0.3623,0.3779,1.0000
spect_000382.spc,4.261,12.061,22.565,0.5507,0.2682,0.1791,1.0000
